05-01-2018 13:49:35.519 INFO  HtmlParser:34 - данных:
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - MSGENCOL.PPD
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - Файл
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - настройки:
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - PS5UI.DLL
05-01-2018 13:49:35.519 INFO  HtmlParser:34 - Файл
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - справки:
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - PSCRIPT.HLP
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - Версия
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - драйвера:
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - 6.00
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - Среда:
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - Windows
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - NT
05-01-2018 13:49:35.520 INFO  HtmlParser:34 - x86
05-01-2018 13:49:35.523 INFO  HtmlParser:34 - Используемые
05-01-2018 13:49:35.525 INFO  HtmlParser:34 - драйвером
05-01-2018 13:49:35.525 INFO  HtmlParser:34 - файлы:
05-01-2018 13:49:35.526 INFO  HtmlParser:34 - C:\WINDOWS\System32\spool\DRIVERS\W32X86\3\PSCRIPT.NTF
05-01-2018 13:49:35.526 INFO  HtmlParser:34 - Печать
05-01-2018 13:49:35.526 INFO  HtmlParser:34 - пробной
05-01-2018 13:49:35.527 INFO  HtmlParser:34 - страницы
05-01-2018 13:49:35.527 INFO  HtmlParser:34 - завершена.
05-01-2018 13:49:35.527 INFO  HtmlParser:42 - End file c:\temp\storage\AP2000-RDDE0016\26-12-2017_15-14-08\Пробная010.html ----------------------------------
05-01-2018 13:49:35.527 INFO  HtmlParser:18 - Start file c:\temp\storage\AP2000-RDDE0016\26-12-2017_15-16-15\AP011.html ----------------------------------
05-01-2018 13:49:35.537 INFO  HtmlParser:42 - End file c:\temp\storage\AP2000-RDDE0016\26-12-2017_15-16-15\AP011.html ----------------------------------
05-01-2018 13:49:35.538 INFO  HtmlParser:18 - Start file c:\temp\storage\AP2000-TGBB0016\26-12-2017_15-00-04\Test005.html ----------------------------------
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - Windows
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - XP
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - Printer
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - Test
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - Page
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - Congratulations!
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - If
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - you
05-01-2018 13:49:35.548 INFO  HtmlParser:34 - can
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - read
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - this
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - information,
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - you
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - have
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - correctly
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - installed
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - your
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - MS
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - Publisher
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - Color
05-01-2018 13:49:35.549 INFO  HtmlParser:34 - Printer
